prompt,debate,model,debater,criterion,score
2,9,gemini,Debater 3,organization_and_clarity,4.666666666666667
2,9,gemini,Debater 3,persuasion,3.8333333333333335
2,9,gemini,Debater 3,preparation,3.0
2,9,gemini,Debater 3,use_of_examples,3.6666666666666665
2,9,gemini,Debater 4,adaptability,7.8999999999999995
2,9,gemini,Debater 4,argumentation,8.033333333333333
2,9,gemini,Debater 4,coherence,8.033333333333333
2,9,gemini,Debater 4,engagement,8.166666666666666
2,9,gemini,Debater 4,mastery_of_the_topic,7.933333333333334
2,9,gemini,Debater 4,organization_and_clarity,7.866666666666667
2,9,gemini,Debater 4,persuasion,7.733333333333333
2,9,gemini,Debater 4,preparation,7.666666666666667
2,9,gemini,Debater 4,use_of_examples,7.666666666666667
2,9,gpt4o,Debater 1,adaptability,7.833333333333333
2,9,gpt4o,Debater 1,argumentation,8.333333333333334
2,9,gpt4o,Debater 1,coherence,8.333333333333334
2,9,gpt4o,Debater 1,engagement,8.333333333333334
2,9,gpt4o,Debater 1,mastery_of_the_topic,8.0
2,9,gpt4o,Debater 1,organization_and_clarity,8.0
2,9,gpt4o,Debater 1,persuasion,8.0
2,9,gpt4o,Debater 1,preparation,8.5
2,9,gpt4o,Debater 1,use_of_examples,8.166666666666666
2,9,gpt4o,Debater 2,adaptability,7.0
2,9,gpt4o,Debater 2,argumentation,7.333333333333333
2,9,gpt4o,Debater 2,coherence,7.5
2,9,gpt4o,Debater 2,engagement,7.5
2,9,gpt4o,Debater 2,mastery_of_the_topic,7.166666666666667
2,9,gpt4o,Debater 2,organization_and_clarity,7.0
2,9,gpt4o,Debater 2,persuasion,7.333333333333333
2,9,gpt4o,Debater 2,preparation,7.5
2,9,gpt4o,Debater 2,use_of_examples,7.333333333333333
2,9,gpt4o,Debater 3,adaptability,6.333333333333333
2,9,gpt4o,Debater 3,argumentation,6.666666666666667
2,9,gpt4o,Debater 3,coherence,6.833333333333333
2,9,gpt4o,Debater 3,engagement,6.666666666666667
2,9,gpt4o,Debater 3,mastery_of_the_topic,6.333333333333333
2,9,gpt4o,Debater 3,organization_and_clarity,6.5
2,9,gpt4o,Debater 3,persuasion,6.5
2,9,gpt4o,Debater 3,preparation,6.666666666666667
2,9,gpt4o,Debater 3,use_of_examples,6.166666666666667
2,9,gpt4o,Debater 4,adaptability,7.5
2,9,gpt4o,Debater 4,argumentation,8.0
2,9,gpt4o,Debater 4,coherence,7.933333333333334
2,9,gpt4o,Debater 4,engagement,8.0
2,9,gpt4o,Debater 4,mastery_of_the_topic,7.5
2,9,gpt4o,Debater 4,organization_and_clarity,7.5
2,9,gpt4o,Debater 4,persuasion,7.8
2,9,gpt4o,Debater 4,preparation,8.0
2,9,gpt4o,Debater 4,use_of_examples,7.5
2,10,claude,Debater 1,adaptability,7.5
2,10,claude,Debater 1,argumentation,8.0
2,10,claude,Debater 1,coherence,7.5
2,10,claude,Debater 1,engagement,8.5
2,10,claude,Debater 1,mastery_of_the_topic,8.0
2,10,claude,Debater 1,organization_and_clarity,7.5
2,10,claude,Debater 1,persuasion,7.5
2,10,claude,Debater 1,preparation,7.5
2,10,claude,Debater 1,use_of_examples,8.0
2,10,claude,Debater 2,adaptability,7.5
2,10,claude,Debater 2,argumentation,7.866666666666667
2,10,claude,Debater 2,coherence,7.5
2,10,claude,Debater 2,engagement,7.833333333333333
2,10,claude,Debater 2,mastery_of_the_topic,7.5
2,10,claude,Debater 2,organization_and_clarity,7.5
2,10,claude,Debater 2,persuasion,7.5
2,10,claude,Debater 2,preparation,7.166666666666667
2,10,claude,Debater 2,use_of_examples,7.5
2,10,claude,Debater 3,adaptability,6.5
2,10,claude,Debater 3,argumentation,6.333333333333333
2,10,claude,Debater 3,coherence,7.0
2,10,claude,Debater 3,engagement,6.833333333333333
2,10,claude,Debater 3,mastery_of_the_topic,6.833333333333333
2,10,claude,Debater 3,organization_and_clarity,6.166666666666667
2,10,claude,Debater 3,persuasion,6.166666666666667
2,10,claude,Debater 3,preparation,6.166666666666667
2,10,claude,Debater 3,use_of_examples,5.666666666666667
2,10,claude,Debater 4,adaptability,7.333333333333333
2,10,claude,Debater 4,argumentation,7.5
2,10,claude,Debater 4,coherence,7.0
2,10,claude,Debater 4,engagement,7.333333333333333
2,10,claude,Debater 4,mastery_of_the_topic,7.5
2,10,claude,Debater 4,organization_and_clarity,7.5
2,10,claude,Debater 4,persuasion,7.333333333333333
2,10,claude,Debater 4,preparation,7.0
2,10,claude,Debater 4,use_of_examples,8.0
2,10,gemini,Debater 1,adaptability,8.8
2,10,gemini,Debater 1,argumentation,9.5
2,10,gemini,Debater 1,coherence,9.0
2,10,gemini,Debater 1,engagement,9.0
2,10,gemini,Debater 1,mastery_of_the_topic,9.3
2,10,gemini,Debater 1,organization_and_clarity,9.0
2,10,gemini,Debater 1,persuasion,9.0
2,10,gemini,Debater 1,preparation,9.2
2,10,gemini,Debater 1,use_of_examples,9.5
2,10,gemini,Debater 2,adaptability,8.7
2,10,gemini,Debater 2,argumentation,8.8
2,10,gemini,Debater 2,coherence,8.5
2,10,gemini,Debater 2,engagement,9.0
2,10,gemini,Debater 2,mastery_of_the_topic,8.7
2,10,gemini,Debater 2,organization_and_clarity,8.0
2,10,gemini,Debater 2,persuasion,8.5
2,10,gemini,Debater 2,preparation,8.5
2,10,gemini,Debater 2,use_of_examples,8.5
2,10,gemini,Debater 3,adaptability,7.2
2,10,gemini,Debater 3,argumentation,7.5
2,10,gemini,Debater 3,coherence,7.5
2,10,gemini,Debater 3,engagement,7.5
2,10,gemini,Debater 3,mastery_of_the_topic,7.3
2,10,gemini,Debater 3,organization_and_clarity,7.0
2,10,gemini,Debater 3,persuasion,7.0
2,10,gemini,Debater 3,preparation,7.0
2,10,gemini,Debater 3,use_of_examples,7.0
2,10,gemini,Debater 4,adaptability,7.8
2,10,gemini,Debater 4,argumentation,8.0
2,10,gemini,Debater 4,coherence,7.8
2,10,gemini,Debater 4,engagement,8.0
2,10,gemini,Debater 4,mastery_of_the_topic,8.0
2,10,gemini,Debater 4,organization_and_clarity,7.8
2,10,gemini,Debater 4,persuasion,7.5
2,10,gemini,Debater 4,preparation,8.0
2,10,gemini,Debater 4,use_of_examples,8.0
2,10,gpt4o,Debater 1,adaptability,8.0
2,10,gpt4o,Debater 1,argumentation,8.0
2,10,gpt4o,Debater 1,coherence,8.2
2,10,gpt4o,Debater 1,engagement,8.5
2,10,gpt4o,Debater 1,mastery_of_the_topic,8.0
2,10,gpt4o,Debater 1,organization_and_clarity,8.0
2,10,gpt4o,Debater 1,persuasion,8.2
2,10,gpt4o,Debater 1,preparation,8.5
2,10,gpt4o,Debater 1,use_of_examples,8.5
2,10,gpt4o,Debater 2,adaptability,7.766666666666667
2,10,gpt4o,Debater 2,argumentation,8.133333333333333
2,10,gpt4o,Debater 2,coherence,8.066666666666666
2,10,gpt4o,Debater 2,engagement,8.200000000000001
2,10,gpt4o,Debater 2,mastery_of_the_topic,7.833333333333333
2,10,gpt4o,Debater 2,organization_and_clarity,7.7
2,10,gpt4o,Debater 2,persuasion,7.933333333333334
2,10,gpt4o,Debater 2,preparation,8.133333333333333
2,10,gpt4o,Debater 2,use_of_examples,7.666666666666667
2,10,gpt4o,Debater 3,adaptability,7.5
2,10,gpt4o,Debater 3,argumentation,7.5
2,10,gpt4o,Debater 3,coherence,7.5
2,10,gpt4o,Debater 3,engagement,7.666666666666667
2,10,gpt4o,Debater 3,mastery_of_the_topic,7.333333333333333
2,10,gpt4o,Debater 3,organization_and_clarity,7.333333333333333
2,10,gpt4o,Debater 3,persuasion,7.433333333333334
2,10,gpt4o,Debater 3,preparation,7.7
2,10,gpt4o,Debater 3,use_of_examples,7.0
2,10,gpt4o,Debater 4,adaptability,7.666666666666667
2,10,gpt4o,Debater 4,argumentation,7.833333333333333
2,10,gpt4o,Debater 4,coherence,7.866666666666667
2,10,gpt4o,Debater 4,engagement,7.966666666666666
2,10,gpt4o,Debater 4,mastery_of_the_topic,7.666666666666667
2,10,gpt4o,Debater 4,organization_and_clarity,7.7
2,10,gpt4o,Debater 4,persuasion,7.7
2,10,gpt4o,Debater 4,preparation,7.933333333333334
2,10,gpt4o,Debater 4,use_of_examples,7.5
2,11,claude,Debater 1,adaptability,7.5
2,11,claude,Debater 1,argumentation,7.5
2,11,claude,Debater 1,coherence,7.0
2,11,claude,Debater 1,engagement,8.5
2,11,claude,Debater 1,mastery_of_the_topic,7.5
2,11,claude,Debater 1,organization_and_clarity,6.5
2,11,claude,Debater 1,persuasion,7.0
2,11,claude,Debater 1,preparation,7.0
2,11,claude,Debater 1,use_of_examples,6.0
2,11,claude,Debater 2,adaptability,6.666666666666667
2,11,claude,Debater 2,argumentation,6.5
2,11,claude,Debater 2,coherence,6.666666666666667
2,11,claude,Debater 2,engagement,7.166666666666667
2,11,claude,Debater 2,mastery_of_the_topic,6.666666666666667
2,11,claude,Debater 2,organization_and_clarity,6.166666666666667
2,11,claude,Debater 2,persuasion,6.166666666666667
2,11,claude,Debater 2,preparation,6.166666666666667
2,11,claude,Debater 2,use_of_examples,5.666666666666667
2,11,claude,Debater 3,adaptability,8.166666666666666
2,11,claude,Debater 3,argumentation,9.0
2,11,claude,Debater 3,coherence,8.5
2,11,claude,Debater 3,engagement,8.5
2,11,claude,Debater 3,mastery_of_the_topic,8.833333333333334
2,11,claude,Debater 3,organization_and_clarity,8.5
2,11,claude,Debater 3,persuasion,8.5
2,11,claude,Debater 3,preparation,8.5
2,11,claude,Debater 3,use_of_examples,7.0
2,11,claude,Debater 4,adaptability,5.833333333333333
2,11,claude,Debater 4,argumentation,5.666666666666667
2,11,claude,Debater 4,coherence,6.666666666666667
2,11,claude,Debater 4,engagement,5.166666666666667
2,11,claude,Debater 4,mastery_of_the_topic,6.333333333333333
2,11,claude,Debater 4,organization_and_clarity,6.0
2,11,claude,Debater 4,persuasion,5.666666666666667
2,11,claude,Debater 4,preparation,6.0
2,11,claude,Debater 4,use_of_examples,6.0
2,11,claude,Debater 5,adaptability,7.5
2,11,claude,Debater 5,argumentation,8.0
2,11,claude,Debater 5,coherence,7.5
2,11,claude,Debater 5,engagement,8.5
2,11,claude,Debater 5,mastery_of_the_topic,8.166666666666666
2,11,claude,Debater 5,organization_and_clarity,7.166666666666667
2,11,claude,Debater 5,persuasion,8.0
2,11,claude,Debater 5,preparation,8.0
2,11,claude,Debater 5,use_of_examples,7.333333333333333
2,11,gemini,Debater 1,adaptability,8.933333333333334
2,11,gemini,Debater 1,argumentation,8.933333333333334
2,11,gemini,Debater 1,coherence,8.700000000000001
2,11,gemini,Debater 1,engagement,9.333333333333334
2,11,gemini,Debater 1,mastery_of_the_topic,8.9
2,11,gemini,Debater 1,organization_and_clarity,8.166666666666666
2,11,gemini,Debater 1,persuasion,8.700000000000001
2,11,gemini,Debater 1,preparation,8.7
2,11,gemini,Debater 1,use_of_examples,8.5
2,11,gemini,Debater 2,adaptability,7.866666666666667
2,11,gemini,Debater 2,argumentation,8.0
2,11,gemini,Debater 2,coherence,7.933333333333334
2,11,gemini,Debater 2,engagement,8.166666666666666
2,11,gemini,Debater 2,mastery_of_the_topic,7.6000000000000005
2,11,gemini,Debater 2,organization_and_clarity,7.866666666666667
2,11,gemini,Debater 2,persuasion,7.6000000000000005
2,11,gemini,Debater 2,preparation,7.866666666666667
2,11,gemini,Debater 2,use_of_examples,7.5
2,11,gemini,Debater 3,adaptability,8.633333333333333
2,11,gemini,Debater 3,argumentation,9.166666666666666
2,11,gemini,Debater 3,coherence,8.866666666666665
2,11,gemini,Debater 3,engagement,8.6
2,11,gemini,Debater 3,mastery_of_the_topic,8.933333333333334
2,11,gemini,Debater 3,organization_and_clarity,8.666666666666666
2,11,gemini,Debater 3,persuasion,8.933333333333334
2,11,gemini,Debater 3,preparation,8.866666666666667
2,11,gemini,Debater 3,use_of_examples,7.0
2,11,gemini,Debater 4,adaptability,7.166666666666667
2,11,gemini,Debater 4,argumentation,7.8
2,11,gemini,Debater 4,coherence,7.6000000000000005
2,11,gemini,Debater 4,engagement,6.666666666666667
2,11,gemini,Debater 4,mastery_of_the_topic,7.366666666666667
2,11,gemini,Debater 4,organization_and_clarity,7.666666666666667
2,11,gemini,Debater 4,persuasion,7.3
2,11,gemini,Debater 4,preparation,7.6000000000000005
2,11,gemini,Debater 4,use_of_examples,7.166666666666667
2,11,gemini,Debater 5,adaptability,8.766666666666667
2,11,gemini,Debater 5,argumentation,9.0
2,11,gemini,Debater 5,coherence,9.0
2,11,gemini,Debater 5,engagement,8.6
2,11,gemini,Debater 5,mastery_of_the_topic,9.233333333333333
2,11,gemini,Debater 5,organization_and_clarity,8.6
2,11,gemini,Debater 5,persuasion,9.133333333333333
2,11,gemini,Debater 5,preparation,9.066666666666666
2,11,gemini,Debater 5,use_of_examples,8.666666666666666
2,11,gpt4o,Debater 1,adaptability,8.0
2,11,gpt4o,Debater 1,argumentation,8.5
2,11,gpt4o,Debater 1,coherence,8.133333333333333
2,11,gpt4o,Debater 1,engagement,8.299999999999999
2,11,gpt4o,Debater 1,mastery_of_the_topic,8.0
2,11,gpt4o,Debater 1,organization_and_clarity,7.5
2,11,gpt4o,Debater 1,persuasion,7.8
2,11,gpt4o,Debater 1,preparation,8.5
2,11,gpt4o,Debater 1,use_of_examples,8.0
2,11,gpt4o,Debater 2,adaptability,7.166666666666667
2,11,gpt4o,Debater 2,argumentation,7.7
2,11,gpt4o,Debater 2,coherence,7.7
2,11,gpt4o,Debater 2,engagement,7.6000000000000005
2,11,gpt4o,Debater 2,mastery_of_the_topic,7.333333333333333
2,11,gpt4o,Debater 2,organization_and_clarity,7.0
2,11,gpt4o,Debater 2,persuasion,7.2
2,11,gpt4o,Debater 2,preparation,7.7
2,11,gpt4o,Debater 2,use_of_examples,7.5
2,11,gpt4o,Debater 3,adaptability,8.066666666666666
2,11,gpt4o,Debater 3,argumentation,8.5
2,11,gpt4o,Debater 3,coherence,8.133333333333333
2,11,gpt4o,Debater 3,engagement,8.266666666666667
2,11,gpt4o,Debater 3,mastery_of_the_topic,8.433333333333334
2,11,gpt4o,Debater 3,organization_and_clarity,8.0
2,11,gpt4o,Debater 3,persuasion,8.0
2,11,gpt4o,Debater 3,preparation,8.5
2,11,gpt4o,Debater 3,use_of_examples,8.066666666666666
2,11,gpt4o,Debater 4,adaptability,7.6000000000000005
2,11,gpt4o,Debater 4,argumentation,7.933333333333334
2,11,gpt4o,Debater 4,coherence,7.933333333333334
2,11,gpt4o,Debater 4,engagement,7.866666666666667
2,11,gpt4o,Debater 4,mastery_of_the_topic,7.7
2,11,gpt4o,Debater 4,organization_and_clarity,7.5
2,11,gpt4o,Debater 4,persuasion,7.6000000000000005
2,11,gpt4o,Debater 4,preparation,7.833333333333333
2,11,gpt4o,Debater 4,use_of_examples,7.6000000000000005
2,11,gpt4o,Debater 5,adaptability,8.0
2,11,gpt4o,Debater 5,argumentation,8.2
2,11,gpt4o,Debater 5,coherence,8.066666666666666
2,11,gpt4o,Debater 5,engagement,8.066666666666666
2,11,gpt4o,Debater 5,mastery_of_the_topic,8.0
2,11,gpt4o,Debater 5,organization_and_clarity,8.0
2,11,gpt4o,Debater 5,persuasion,8.166666666666666
2,11,gpt4o,Debater 5,preparation,8.5
2,11,gpt4o,Debater 5,use_of_examples,8.0
2,12,claude,Debater 1,adaptability,5.5
2,12,claude,Debater 1,argumentation,5.5
2,12,claude,Debater 1,coherence,6.0
2,12,claude,Debater 1,engagement,6.5
2,12,claude,Debater 1,mastery_of_the_topic,6.0
2,12,claude,Debater 1,organization_and_clarity,5.5
2,12,claude,Debater 1,persuasion,5.0
2,12,claude,Debater 1,preparation,5.5
2,12,claude,Debater 1,use_of_examples,6.0
2,12,claude,Debater 2,adaptability,6.5
2,12,claude,Debater 2,argumentation,6.5
2,12,claude,Debater 2,coherence,6.5
2,12,claude,Debater 2,engagement,7.166666666666667
2,12,claude,Debater 2,mastery_of_the_topic,6.666666666666667
2,12,claude,Debater 2,organization_and_clarity,6.0
2,12,claude,Debater 2,persuasion,6.5
2,12,claude,Debater 2,preparation,6.666666666666667
2,12,claude,Debater 2,use_of_examples,7.666666666666667
2,12,claude,Debater 3,adaptability,8.5
2,12,claude,Debater 3,argumentation,9.5
2,12,claude,Debater 3,coherence,9.0
2,12,claude,Debater 3,engagement,8.833333333333334
2,12,claude,Debater 3,mastery_of_the_topic,9.0
2,12,claude,Debater 3,organization_and_clarity,8.666666666666666
2,12,claude,Debater 3,persuasion,9.0
2,12,claude,Debater 3,preparation,9.0
2,12,claude,Debater 3,use_of_examples,8.5
2,12,claude,Debater 4,adaptability,7.5
2,12,claude,Debater 4,argumentation,8.166666666666666
2,12,claude,Debater 4,coherence,7.666666666666667
2,12,claude,Debater 4,engagement,7.666666666666667
2,12,claude,Debater 4,mastery_of_the_topic,8.333333333333334
2,12,claude,Debater 4,organization_and_clarity,7.5
2,12,claude,Debater 4,persuasion,7.666666666666667
2,12,claude,Debater 4,preparation,8.0
2,12,claude,Debater 4,use_of_examples,7.5
2,12,gemini,Debater 1,adaptability,7.666666666666667
2,12,gemini,Debater 1,argumentation,7.666666666666667
2,12,gemini,Debater 1,coherence,7.833333333333333
2,12,gemini,Debater 1,engagement,7.966666666666666
2,12,gemini,Debater 1,mastery_of_the_topic,7.8
2,12,gemini,Debater 1,organization_and_clarity,7.833333333333333
2,12,gemini,Debater 1,persuasion,7.466666666666666
2,12,gemini,Debater 1,preparation,7.666666666666667
2,12,gemini,Debater 1,use_of_examples,8.0
2,12,gemini,Debater 2,adaptability,8.0
2,12,gemini,Debater 2,argumentation,7.7
2,12,gemini,Debater 2,coherence,7.5
2,12,gemini,Debater 2,engagement,8.5
2,12,gemini,Debater 2,mastery_of_the_topic,8.0
2,12,gemini,Debater 2,organization_and_clarity,7.333333333333333
2,12,gemini,Debater 2,persuasion,7.933333333333334
2,12,gemini,Debater 2,preparation,8.133333333333333
2,12,gemini,Debater 2,use_of_examples,8.700000000000001
2,12,gemini,Debater 3,adaptability,9.6
2,12,gemini,Debater 3,argumentation,9.8
2,12,gemini,Debater 3,coherence,9.8
2,12,gemini,Debater 3,engagement,9.5
2,12,gemini,Debater 3,mastery_of_the_topic,9.8
2,12,gemini,Debater 3,organization_and_clarity,9.5
2,12,gemini,Debater 3,persuasion,9.7
2,12,gemini,Debater 3,preparation,9.700000000000001
2,12,gemini,Debater 3,use_of_examples,9.5
2,12,gemini,Debater 4,adaptability,8.200000000000001
2,12,gemini,Debater 4,argumentation,8.333333333333334
2,12,gemini,Debater 4,coherence,8.266666666666667
2,12,gemini,Debater 4,engagement,8.333333333333334
2,12,gemini,Debater 4,mastery_of_the_topic,8.466666666666667
2,12,gemini,Debater 4,organization_and_clarity,7.966666666666666
2,12,gemini,Debater 4,persuasion,8.1
2,12,gemini,Debater 4,preparation,8.333333333333334
2,12,gemini,Debater 4,use_of_examples,8.166666666666666
2,12,gpt4o,Debater 1,adaptability,7.6000000000000005
2,12,gpt4o,Debater 1,argumentation,8.0
2,12,gpt4o,Debater 1,coherence,8.0
2,12,gpt4o,Debater 1,engagement,7.933333333333334
2,12,gpt4o,Debater 1,mastery_of_the_topic,7.6000000000000005
2,12,gpt4o,Debater 1,organization_and_clarity,7.5
2,12,gpt4o,Debater 1,persuasion,7.5
2,12,gpt4o,Debater 1,preparation,7.833333333333333
2,12,gpt4o,Debater 1,use_of_examples,7.0
2,12,gpt4o,Debater 2,adaptability,7.233333333333333
2,12,gpt4o,Debater 2,argumentation,7.5
2,12,gpt4o,Debater 2,coherence,7.6000000000000005
2,12,gpt4o,Debater 2,engagement,7.7
2,12,gpt4o,Debater 2,mastery_of_the_topic,7.166666666666667
2,12,gpt4o,Debater 2,organization_and_clarity,7.0
2,12,gpt4o,Debater 2,persuasion,7.0
2,12,gpt4o,Debater 2,preparation,7.333333333333333
2,12,gpt4o,Debater 2,use_of_examples,7.5
2,12,gpt4o,Debater 3,adaptability,8.4
2,12,gpt4o,Debater 3,argumentation,9.0
2,12,gpt4o,Debater 3,coherence,8.5
2,12,gpt4o,Debater 3,engagement,8.5
2,12,gpt4o,Debater 3,mastery_of_the_topic,8.633333333333333
2,12,gpt4o,Debater 3,organization_and_clarity,8.5
2,12,gpt4o,Debater 3,persuasion,8.700000000000001
2,12,gpt4o,Debater 3,preparation,8.833333333333334
2,12,gpt4o,Debater 3,use_of_examples,8.0
2,12,gpt4o,Debater 4,adaptability,8.0
2,12,gpt4o,Debater 4,argumentation,8.333333333333334
2,12,gpt4o,Debater 4,coherence,8.0
2,12,gpt4o,Debater 4,engagement,8.133333333333333
2,12,gpt4o,Debater 4,mastery_of_the_topic,8.066666666666666
2,12,gpt4o,Debater 4,organization_and_clarity,8.0
2,12,gpt4o,Debater 4,persuasion,8.0
2,12,gpt4o,Debater 4,preparation,8.166666666666666
2,12,gpt4o,Debater 4,use_of_examples,7.666666666666667
2,13,claude,Debater 1,adaptability,6.5
2,13,claude,Debater 1,argumentation,6.8
2,13,claude,Debater 1,coherence,6.5
2,13,claude,Debater 1,engagement,7.0
2,13,claude,Debater 1,mastery_of_the_topic,6.8
2,13,claude,Debater 1,organization_and_clarity,6.5
2,13,claude,Debater 1,persuasion,6.5
2,13,claude,Debater 1,preparation,7.0
2,13,claude,Debater 1,use_of_examples,7.5
2,13,claude,Debater 2,adaptability,7.8
2,13,claude,Debater 2,argumentation,7.8
2,13,claude,Debater 2,coherence,7.7
2,13,claude,Debater 2,engagement,8.5
2,13,claude,Debater 2,mastery_of_the_topic,8.0
2,13,claude,Debater 2,organization_and_clarity,7.5
2,13,claude,Debater 2,persuasion,7.5
2,13,claude,Debater 2,preparation,7.5
2,13,claude,Debater 2,use_of_examples,8.0
2,13,claude,Debater 3,adaptability,7.6000000000000005
2,13,claude,Debater 3,argumentation,7.833333333333333
2,13,claude,Debater 3,coherence,7.766666666666667
2,13,claude,Debater 3,engagement,8.0
2,13,claude,Debater 3,mastery_of_the_topic,8.033333333333333
2,13,claude,Debater 3,organization_and_clarity,8.033333333333333
2,13,claude,Debater 3,persuasion,7.5
2,13,claude,Debater 3,preparation,7.833333333333333
2,13,claude,Debater 3,use_of_examples,7.166666666666667
2,13,gemini,Debater 1,adaptability,7.833333333333333
2,13,gemini,Debater 1,argumentation,7.666666666666667
2,13,gemini,Debater 1,coherence,7.266666666666667
2,13,gemini,Debater 1,engagement,8.0
2,13,gemini,Debater 1,mastery_of_the_topic,7.666666666666667
2,13,gemini,Debater 1,organization_and_clarity,7.166666666666667
2,13,gemini,Debater 1,persuasion,7.333333333333333
2,13,gemini,Debater 1,preparation,7.666666666666667
2,13,gemini,Debater 1,use_of_examples,7.833333333333333
2,13,gemini,Debater 2,adaptability,8.5
2,13,gemini,Debater 2,argumentation,8.866666666666667
2,13,gemini,Debater 2,coherence,8.799999999999999
2,13,gemini,Debater 2,engagement,9.0
2,13,gemini,Debater 2,mastery_of_the_topic,8.766666666666667
2,13,gemini,Debater 2,organization_and_clarity,8.666666666666666
2,13,gemini,Debater 2,persuasion,8.6
2,13,gemini,Debater 2,preparation,8.8
2,13,gemini,Debater 2,use_of_examples,8.5
2,13,gemini,Debater 3,adaptability,9.033333333333333
2,13,gemini,Debater 3,argumentation,9.166666666666666
2,13,gemini,Debater 3,coherence,9.299999999999999
2,13,gemini,Debater 3,engagement,9.0
2,13,gemini,Debater 3,mastery_of_the_topic,9.166666666666666
2,13,gemini,Debater 3,organization_and_clarity,9.166666666666666
2,13,gemini,Debater 3,persuasion,8.966666666666667
2,13,gemini,Debater 3,preparation,9.166666666666666
2,13,gemini,Debater 3,use_of_examples,8.333333333333334
2,13,gpt4o,Debater 1,adaptability,7.5
2,13,gpt4o,Debater 1,argumentation,8.0
2,13,gpt4o,Debater 1,coherence,7.7
2,13,gpt4o,Debater 1,engagement,8.0
2,13,gpt4o,Debater 1,mastery_of_the_topic,7.5
2,13,gpt4o,Debater 1,organization_and_clarity,7.0
2,13,gpt4o,Debater 1,persuasion,7.8
2,13,gpt4o,Debater 1,preparation,8.0
2,13,gpt4o,Debater 1,use_of_examples,7.5
2,13,gpt4o,Debater 2,adaptability,8.0
2,13,gpt4o,Debater 2,argumentation,8.5
2,13,gpt4o,Debater 2,coherence,8.133333333333333
2,13,gpt4o,Debater 2,engagement,8.5
2,13,gpt4o,Debater 2,mastery_of_the_topic,8.0
2,13,gpt4o,Debater 2,organization_and_clarity,8.0
2,13,gpt4o,Debater 2,persuasion,8.2
2,13,gpt4o,Debater 2,preparation,8.5
2,13,gpt4o,Debater 2,use_of_examples,8.0
2,13,gpt4o,Debater 3,adaptability,8.0
2,13,gpt4o,Debater 3,argumentation,8.0
2,13,gpt4o,Debater 3,coherence,8.0
2,13,gpt4o,Debater 3,engagement,8.066666666666666
2,13,gpt4o,Debater 3,mastery_of_the_topic,8.0
2,13,gpt4o,Debater 3,organization_and_clarity,8.0
2,13,gpt4o,Debater 3,persuasion,8.0
2,13,gpt4o,Debater 3,preparation,8.0
2,13,gpt4o,Debater 3,use_of_examples,8.0
2,14,claude,Debater 1,adaptability,4.0
2,14,claude,Debater 1,argumentation,5.5
2,14,claude,Debater 1,coherence,6.0
2,14,claude,Debater 1,engagement,4.5
2,14,claude,Debater 1,mastery_of_the_topic,6.5
2,14,claude,Debater 1,organization_and_clarity,5.5
2,14,claude,Debater 1,persuasion,5.0
2,14,claude,Debater 1,preparation,6.0
2,14,claude,Debater 1,use_of_examples,5.0
2,14,claude,Debater 2,adaptability,8.166666666666666
2,14,claude,Debater 2,argumentation,8.166666666666666
2,14,claude,Debater 2,coherence,8.0
2,14,claude,Debater 2,engagement,8.666666666666666
2,14,claude,Debater 2,mastery_of_the_topic,7.7
2,14,claude,Debater 2,organization_and_clarity,7.666666666666667
2,14,claude,Debater 2,persuasion,7.666666666666667
2,14,claude,Debater 2,preparation,7.666666666666667
2,14,claude,Debater 2,use_of_examples,8.333333333333334
2,14,claude,Debater 3,adaptability,4.5
2,14,claude,Debater 3,argumentation,5.333333333333333
2,14,claude,Debater 3,coherence,6.333333333333333
2,14,claude,Debater 3,engagement,4.0
2,14,claude,Debater 3,mastery_of_the_topic,6.0
2,14,claude,Debater 3,organization_and_clarity,6.0
2,14,claude,Debater 3,persuasion,5.0
2,14,claude,Debater 3,preparation,5.5
2,14,claude,Debater 3,use_of_examples,5.5
2,14,claude,Debater 4,adaptability,6.166666666666667
2,14,claude,Debater 4,argumentation,6.666666666666667
2,14,claude,Debater 4,coherence,6.833333333333333
2,14,claude,Debater 4,engagement,6.0
2,14,claude,Debater 4,mastery_of_the_topic,7.166666666666667
2,14,claude,Debater 4,organization_and_clarity,6.5
2,14,claude,Debater 4,persuasion,6.166666666666667
2,14,claude,Debater 4,preparation,6.833333333333333
2,14,claude,Debater 4,use_of_examples,6.0
2,14,claude,Debater 5,adaptability,7.5
2,14,claude,Debater 5,argumentation,7.7
2,14,claude,Debater 5,coherence,7.6000000000000005
2,14,claude,Debater 5,engagement,7.833333333333333
2,14,claude,Debater 5,mastery_of_the_topic,7.5
2,14,claude,Debater 5,organization_and_clarity,7.5
2,14,claude,Debater 5,persuasion,7.333333333333333
2,14,claude,Debater 5,preparation,7.0
2,14,claude,Debater 5,use_of_examples,7.933333333333334
2,14,gemini,Debater 1,adaptability,5.333333333333333
2,14,gemini,Debater 1,argumentation,6.0
2,14,gemini,Debater 1,coherence,6.5
2,14,gemini,Debater 1,engagement,4.666666666666667
2,14,gemini,Debater 1,mastery_of_the_topic,5.666666666666667
2,14,gemini,Debater 1,organization_and_clarity,6.5
2,14,gemini,Debater 1,persuasion,5.5
2,14,gemini,Debater 1,preparation,5.666666666666667
2,14,gemini,Debater 1,use_of_examples,5.666666666666667
2,14,gemini,Debater 2,adaptability,8.166666666666666
